ORGLA09G0110800.1 ORGLA02G0043600.1
ORGLA10G0154200.1 ORGLA06G0261600.1
ORGLA10G0154200.1 ORGLA08G0205500.1
ORGLA10G0154200.1 ORGLA11G0192200.1
ORGLA10G0154200.1 ORGLA06G0270000.1
ORGLA10G0154200.1 ORGLA03G0399000.1
ORGLA10G0154200.1 ORGLA06G0240500.1
ORGLA10G0154600.1 ORGLA12G0086100.1
ORGLA10G0154600.1 ORGLA06G0248100.1
ORGLA10G0154600.1 ORGLA08G0205100.1
ORGLA10G0154600.1 ORGLA06G0113500.1
ORGLA10G0154600.1 ORGLA12G0086300.1
ORGLA10G0154600.1 ORGLA06G0270600.1
ORGLA10G0154600.1 ORGLA11G0192700.1
ORGLA10G0154600.1 ORGLA03G0398400.1
ORGLA10G0155400.1 ORGLA06G0244300.1
ORGLA10G0155400.1 ORGLA06G0260800.1
ORGLA10G0155400.1 ORGLA11G0193500.1
ORGLA10G0155400.1 ORGLA06G0267500.1
ORGLA10G0155400.1 ORGLA08G0204400.1
ORGLA10G0155400.1 ORGLA03G0397600.1
ORGLA10G0155800.1 ORGLA06G0250800.1
ORGLA10G0155800.1 ORGLA03G0397200.1
ORGLA10G0155800.1 ORGLA06G0267100.1
ORGLA10G0155800.1 ORGLA11G0193800.1
ORGLA10G0155800.1 ORGLA06G0261400.1
ORGLA11G0192200.1 ORGLA06G0261600.1
ORGLA11G0192200.1 ORGLA10G0154200.1
ORGLA11G0192200.1 ORGLA08G0205500.1
ORGLA11G0192200.1 ORGLA06G0270000.1
ORGLA11G0192200.1 ORGLA03G0399000.1
ORGLA11G0192200.1 ORGLA06G0240500.1
ORGLA11G0192700.1 ORGLA12G0086100.1
ORGLA11G0192700.1 ORGLA06G0248100.1
ORGLA11G0192700.1 ORGLA08G0205100.1
ORGLA11G0192700.1 ORGLA12G0086300.1
ORGLA11G0192700.1 ORGLA06G0113500.1
ORGLA11G0192700.1 ORGLA10G0154600.1
ORGLA11G0192700.1 ORGLA06G0270600.1
ORGLA11G0192700.1 ORGLA03G0398400.1
ORGLA11G0193500.1 ORGLA06G0267500.1
ORGLA11G0193500.1 ORGLA08G0204400.1
ORGLA11G0193500.1 ORGLA03G0397600.1
ORGLA11G0193500.1 ORGLA06G0244300.1
ORGLA11G0193500.1 ORGLA06G0260800.1
ORGLA11G0193500.1 ORGLA10G0155400.1
ORGLA11G0193800.1 ORGLA06G0267100.1
ORGLA11G0193800.1 ORGLA10G0155800.1
ORGLA11G0193800.1 ORGLA06G0250800.1
ORGLA11G0193800.1 ORGLA06G0261400.1
ORGLA11G0193800.1 ORGLA03G0397200.1
ORGLA12G0078200.1 ORGLA12G0086100.1
ORGLA12G0078200.1 ORGLA12G0086300.1
ORGLA12G0078200.1 ORGLA12G0086000.1
ORGLA12G0086000.1 ORGLA12G0086100.1
ORGLA12G0086000.1 ORGLA12G0078200.1
ORGLA12G0086000.1 ORGLA12G0086300.1
ORGLA12G0086100.1 ORGLA06G0248100.1
ORGLA12G0086100.1 ORGLA08G0205100.1
ORGLA12G0086100.1 ORGLA12G0078200.1
ORGLA12G0086100.1 ORGLA12G0086300.1
ORGLA12G0086100.1 ORGLA06G0113500.1
ORGLA12G0086100.1 ORGLA10G0154600.1
ORGLA12G0086100.1 ORGLA06G0270600.1
ORGLA12G0086100.1 ORGLA12G0086000.1
ORGLA12G0086100.1 ORGLA11G0192700.1
ORGLA12G0086100.1 ORGLA03G0398400.1
ORGLA12G0086300.1 ORGLA12G0086100.1
ORGLA12G0086300.1 ORGLA06G0248100.1
ORGLA12G0086300.1 ORGLA08G0205100.1
ORGLA12G0086300.1 ORGLA06G0113500.1
ORGLA12G0086300.1 ORGLA12G0078200.1
ORGLA12G0086300.1 ORGLA10G0154600.1
ORGLA12G0086300.1 ORGLA06G0270600.1
ORGLA12G0086300.1 ORGLA12G0086000.1
ORGLA12G0086300.1 ORGLA11G0192700.1
ORGLA12G0086300.1 ORGLA03G0398400.1
