UCYN_05230 UCYN_00120
UCYN_05240 UCYN_01300
UCYN_05380 UCYN_00240
UCYN_05380 UCYN_03870
UCYN_05390 UCYN_09240
UCYN_05390 UCYN_02410
UCYN_05400 UCYN_03200
UCYN_05400 UCYN_01840
UCYN_05480 UCYN_04430
UCYN_05480 UCYN_07770
UCYN_05560 UCYN_11210
UCYN_05560 UCYN_07910
UCYN_05630 UCYN_05780
UCYN_05740 UCYN_12510
UCYN_05760 UCYN_02330
UCYN_05760 UCYN_09370
UCYN_05780 UCYN_03840
UCYN_05780 UCYN_05630
UCYN_05830 UCYN_12600
UCYN_05830 UCYN_03750
UCYN_05830 UCYN_10200
UCYN_05900 UCYN_12070
UCYN_05920 UCYN_03550
UCYN_05920 UCYN_01910
UCYN_06120 UCYN_06130
UCYN_06120 UCYN_04940
UCYN_06120 UCYN_08320
UCYN_06120 UCYN_07350
UCYN_06130 UCYN_04940
UCYN_06130 UCYN_06120
UCYN_06130 UCYN_07350
UCYN_06390 UCYN_02860
UCYN_06390 UCYN_09360
UCYN_06420 UCYN_01750
UCYN_06420 UCYN_03860
UCYN_06590 UCYN_01150
UCYN_06680 UCYN_03110
UCYN_06680 UCYN_04860
UCYN_06700 UCYN_07650
UCYN_06700 UCYN_04240
UCYN_06750 UCYN_09390
UCYN_06850 UCYN_00770
UCYN_06850 UCYN_11750
UCYN_06970 UCYN_03750
UCYN_07010 UCYN_09750
UCYN_07010 UCYN_01930
UCYN_07010 UCYN_02110
UCYN_07080 UCYN_00110
UCYN_07280 UCYN_03110
UCYN_07280 UCYN_04860
UCYN_07300 UCYN_12360
UCYN_07300 UCYN_02860
UCYN_07300 UCYN_09360
UCYN_07300 UCYN_04220
UCYN_07300 UCYN_12420
UCYN_07350 UCYN_06130
UCYN_07350 UCYN_04940
UCYN_07350 UCYN_06120
UCYN_07350 UCYN_08320
UCYN_07650 UCYN_06700
UCYN_07650 UCYN_04240
UCYN_07670 UCYN_07680
UCYN_07670 UCYN_12680
UCYN_07680 UCYN_12690
UCYN_07680 UCYN_07670
UCYN_07690 UCYN_08060
UCYN_07690 UCYN_09300
UCYN_07690 UCYN_09870
UCYN_07710 UCYN_02390
UCYN_07710 UCYN_11830
UCYN_07770 UCYN_07780
UCYN_07770 UCYN_00300
UCYN_07770 UCYN_01270
UCYN_07770 UCYN_05480
UCYN_07770 UCYN_03780
UCYN_07780 UCYN_03320
UCYN_07780 UCYN_07770
UCYN_07840 UCYN_10160
UCYN_07840 UCYN_03660
UCYN_07910 UCYN_05560
UCYN_07910 UCYN_12120
UCYN_08010 UCYN_00830
UCYN_08060 UCYN_07690
UCYN_08130 UCYN_08140
UCYN_08130 UCYN_11700
UCYN_08140 UCYN_03320
UCYN_08140 UCYN_08130
UCYN_08140 UCYN_10040
UCYN_08320 UCYN_04940
UCYN_08320 UCYN_06120
UCYN_08320 UCYN_07350
UCYN_08320 UCYN_11090
UCYN_08530 UCYN_01150
UCYN_08840 UCYN_00220
UCYN_08850 UCYN_11770
UCYN_09070 UCYN_03990
UCYN_09130 UCYN_00340
UCYN_09130 UCYN_01480
UCYN_09200 UCYN_09370
UCYN_09240 UCYN_03390
UCYN_09240 UCYN_05390
UCYN_09300 UCYN_09870
UCYN_09300 UCYN_07690
UCYN_09360 UCYN_06390
UCYN_09360 UCYN_07300
UCYN_09370 UCYN_05760
UCYN_09370 UCYN_09200
UCYN_09390 UCYN_06750
UCYN_09390 UCYN_12030
UCYN_09390 UCYN_11790
UCYN_09400 UCYN_03550
UCYN_09400 UCYN_01910
UCYN_09480 UCYN_09490
UCYN_09490 UCYN_09480
UCYN_09640 UCYN_10910
UCYN_09700 UCYN_09770
UCYN_09700 UCYN_03200
UCYN_09700 UCYN_03370
UCYN_09700 UCYN_01840
UCYN_09750 UCYN_07010
UCYN_09770 UCYN_09700
UCYN_09770 UCYN_02330
UCYN_09870 UCYN_11830
UCYN_09870 UCYN_07690
UCYN_09870 UCYN_09300
UCYN_09870 UCYN_02390
UCYN_09940 UCYN_04980
UCYN_09940 UCYN_12650
UCYN_10040 UCYN_08140
UCYN_10120 UCYN_12680
UCYN_10160 UCYN_07840
UCYN_10200 UCYN_05830
UCYN_10200 UCYN_00650
UCYN_10200 UCYN_03670
UCYN_10220 UCYN_10230
UCYN_10230 UCYN_10220
UCYN_10460 UCYN_12420
UCYN_10460 UCYN_01390
UCYN_10460 UCYN_02650
UCYN_10460 UCYN_01310
UCYN_10460 UCYN_01320
UCYN_10460 UCYN_01330
UCYN_10460 UCYN_01380
UCYN_10460 UCYN_04220
UCYN_10460 UCYN_01360
UCYN_10460 UCYN_02640
UCYN_10460 UCYN_01370
UCYN_10910 UCYN_09640
UCYN_10960 UCYN_03860
UCYN_10960 UCYN_01750
UCYN_11090 UCYN_08320
UCYN_11210 UCYN_05560
UCYN_11250 UCYN_03710
UCYN_11250 UCYN_11460
UCYN_11430 UCYN_12420
UCYN_11430 UCYN_12360
UCYN_11430 UCYN_11440
UCYN_11440 UCYN_11620
UCYN_11440 UCYN_11430
UCYN_11460 UCYN_11250
UCYN_11460 UCYN_02530
UCYN_11460 UCYN_05090
UCYN_11520 UCYN_12120
UCYN_11620 UCYN_00480
UCYN_11620 UCYN_04750
UCYN_11620 UCYN_11440
UCYN_11620 UCYN_04240
UCYN_11700 UCYN_08130
UCYN_11720 UCYN_01150
UCYN_11750 UCYN_06850
UCYN_11770 UCYN_08850
UCYN_11780 UCYN_05180
UCYN_11780 UCYN_01460
UCYN_11780 UCYN_01900
UCYN_11790 UCYN_09390
UCYN_11790 UCYN_03370
UCYN_11830 UCYN_09870
UCYN_11830 UCYN_07710
UCYN_11980 UCYN_03750
UCYN_12000 UCYN_01460
UCYN_12030 UCYN_09390
UCYN_12030 UCYN_03370
UCYN_12070 UCYN_03050
UCYN_12070 UCYN_05900
UCYN_12120 UCYN_11520
UCYN_12120 UCYN_07910
UCYN_12140 UCYN_04760
UCYN_12260 UCYN_03860
UCYN_12260 UCYN_01750
UCYN_12360 UCYN_07300
UCYN_12360 UCYN_00630
UCYN_12360 UCYN_04220
UCYN_12360 UCYN_01750
UCYN_12360 UCYN_11430
UCYN_12360 UCYN_12420
UCYN_12360 UCYN_00660
UCYN_12360 UCYN_03860
UCYN_12420 UCYN_02650
UCYN_12420 UCYN_01390
UCYN_12420 UCYN_12360
UCYN_12420 UCYN_03860
UCYN_12420 UCYN_01310
UCYN_12420 UCYN_01320
UCYN_12420 UCYN_01330
UCYN_12420 UCYN_10460
UCYN_12420 UCYN_01380
UCYN_12420 UCYN_01750
UCYN_12420 UCYN_11430
UCYN_12420 UCYN_01360
UCYN_12420 UCYN_01370
UCYN_12420 UCYN_02640
UCYN_12420 UCYN_07300
UCYN_12510 UCYN_05740
UCYN_12600 UCYN_05830
UCYN_12600 UCYN_03240
UCYN_12650 UCYN_00330
UCYN_12650 UCYN_09940
UCYN_12680 UCYN_10120
UCYN_12680 UCYN_07670
UCYN_12690 UCYN_07680
