ENSMICP00000010047 ENSMICP00000003261
ENSMICP00000010047 ENSMICP00000002318
ENSMICP00000010790 ENSMICP00000009098
ENSMICP00000011740 ENSMICP00000011766
ENSMICP00000011740 ENSMICP00000002599
ENSMICP00000011740 ENSMICP00000011793
ENSMICP00000011740 ENSMICP00000004522
ENSMICP00000011740 ENSMICP00000009138
ENSMICP00000011740 ENSMICP00000004499
ENSMICP00000011740 ENSMICP00000015275
ENSMICP00000011740 ENSMICP00000001034
ENSMICP00000011766 ENSMICP00000011740
ENSMICP00000011766 ENSMICP00000002599
ENSMICP00000011766 ENSMICP00000011793
ENSMICP00000011766 ENSMICP00000004522
ENSMICP00000011766 ENSMICP00000009138
ENSMICP00000011766 ENSMICP00000004499
ENSMICP00000011766 ENSMICP00000015275
ENSMICP00000011766 ENSMICP00000001034
ENSMICP00000011793 ENSMICP00000011766
ENSMICP00000011793 ENSMICP00000002599
ENSMICP00000011793 ENSMICP00000011740
ENSMICP00000011793 ENSMICP00000004522
ENSMICP00000011793 ENSMICP00000009138
ENSMICP00000011793 ENSMICP00000004499
ENSMICP00000011793 ENSMICP00000015275
ENSMICP00000011793 ENSMICP00000001034
ENSMICP00000011964 ENSMICP00000009323
ENSMICP00000011964 ENSMICP00000009890
ENSMICP00000012008 ENSMICP00000004537
ENSMICP00000012008 ENSMICP00000001691
ENSMICP00000012008 ENSMICP00000007408
ENSMICP00000012008 ENSMICP00000004303
ENSMICP00000012008 ENSMICP00000008055
ENSMICP00000012008 ENSMICP00000001840
ENSMICP00000012008 ENSMICP00000002595
ENSMICP00000012560 ENSMICP00000008228
ENSMICP00000012756 ENSMICP00000001429
ENSMICP00000012763 ENSMICP00000008310
ENSMICP00000012763 ENSMICP00000014008
ENSMICP00000013080 ENSMICP00000004244
ENSMICP00000013262 ENSMICP00000010047
ENSMICP00000013262 ENSMICP00000013605
ENSMICP00000013262 ENSMICP00000003386
ENSMICP00000013262 ENSMICP00000002444
ENSMICP00000013262 ENSMICP00000004482
ENSMICP00000013262 ENSMICP00000003261
ENSMICP00000013262 ENSMICP00000002318
ENSMICP00000013424 ENSMICP00000002239
ENSMICP00000013605 ENSMICP00000015123
ENSMICP00000013605 ENSMICP00000010047
ENSMICP00000013605 ENSMICP00000002318
ENSMICP00000013605 ENSMICP00000003745
ENSMICP00000013605 ENSMICP00000003261
ENSMICP00000013605 ENSMICP00000015047
ENSMICP00000013605 ENSMICP00000013262
ENSMICP00000013605 ENSMICP00000003386
ENSMICP00000013605 ENSMICP00000002444
ENSMICP00000013605 ENSMICP00000004482
ENSMICP00000013605 ENSMICP00000015129
